IDConfiguracion,IDSubDeterminacion,Tecnica
1,130,CKL
2,4079,CKMBL
5,3135,CRELc
6,3056,GLUL
9,3500,GOTL
10,3499,GPTL
11,3501,ALPL
12,3058,UREL
14,3207,AMIL
15,3057,URIL
16,3060,COLL
17,1690,FEL
18,338,GGTL
20,131,LDHL
21,3296,PT
22,3089,TGL
23,2053,GLUL
25,3698,UREL
26,3699,CRELc
29,3709,ALPL
30,3710,GPTL
32,5117,COLL
33,5118,HDL-F
34,5121,TGL
35,3711,GOTL
36,3297,ALB
37,3327,PT
38,3328,ALB
41,4559,GPTL
42,4560,GOTL
43,4558,ALPL
44,4553,UREL
45,4554,CRELc
46,2689,PT
47,2690,ALB
48,318,GPTL
49,3146,ALPL
51,3090,GOTL
55,4485,COLL
56,4491,TGL
57,4776,AMIL
58,4484,GLUL
59,2619,GLUL
60,2988,ALPL
61,2989,GPTL
63,2990,GOTL
64,2991,GGTL
65,2712,GGTL
66,2992,CKL
67,5001,HDL-F
68,2980,CRELc
74,5048,CRPHS
75,5066,ALB
76,5065,PT
77,5063,GLUL
78,5064,LDHL
79,2687,UREL
80,2981,PT
83,5130,Na
84,5131,K
85,5132,Cl
86,3215,CA As
87,4489,CA As
88,3216,FOSF W
89,4490,FOSF W
91,5164,CA As
92,5165,PT
93,2982,ALB