IDObraSocial,IDAdicional,MontoFijo,PorcentajeSP,EnLista
1,1,50,0,1
1,2,0,0,0
1,3,0,0,0
4,1,8634,0,1
4,2,0,0,0
4,3,3151,0,1
4,4,0,0,0
7,1,50,0,1
7,2,0,0,0
7,3,0,0,0
7,4,0,0,0
9,1,0,0,0
9,2,0,0,0
9,3,0,0,0
17,1,50,0,1
17,2,0,0,0
17,3,0,0,0
44,1,50,0,1
44,2,0,0,0
44,3,0,0,0
44,4,0,0,0
49,1,50,0,1
49,2,0,0,0
49,3,0,0,0
53,1,50,0,1
53,2,0,0,0
53,3,0,0,0
56,1,0,0,0
56,2,0,0,0
56,3,0,0,0
64,1,50,0,1
64,2,0,0,0
64,3,0,0,0
69,1,7368,0,1
69,2,0,0,0
69,3,0,0,0
69,4,0,0,0
76,1,360,0,1
76,2,0,0,0
76,3,0,0,0
78,1,50,0,1
78,2,3000,0,1
78,3,0,0,0
78,4,0,0,0
80,1,1008,0,1
80,2,0,0,0
80,3,0,0,0
82,1,8556,0,1
82,2,0,0,0
82,3,0,0,0
82,4,0,0,0
83,1,9000,0,1
83,2,0,0,0
83,3,2881,0,1
83,4,0,0,0
94,1,50,0,1
94,2,0,0,0
94,3,0,0,0
101,1,6480,0,1
101,2,0,0,0
101,3,0,0,0
101,4,0,0,0
108,1,369,0,1
108,2,0,0,0
108,3,0,0,0
114,1,330,0,1
114,2,0,0,0
114,3,0,0,0
116,1,318,0,1
116,2,0,0,1
116,3,100,0,0
120,1,6600,0,1
120,2,0,0,0
120,3,0,0,0
120,4,0,0,0
121,1,3726,0,1
121,2,0,0,0
121,3,0,0,0
121,4,0,0,0
122,1,187,0,1
122,2,0,0,0
122,3,0,0,0
123,1,187,0,1
123,2,0,0,0
123,3,0,0,0
135,1,50,0,1
135,2,0,0,0
135,3,0,0,0
139,1,0,0,0
139,2,0,0,0
139,3,0,0,0
139,4,0,0,0
141,1,11244,0,1
141,2,0,0,0
141,3,0,0,0
141,4,0,0,0
142,1,3600,0,1
142,2,0,0,0
142,3,300,0,1
142,4,0,0,0