IDRenglonVR,IDSubDeterminacionVR,Categoria,ValoresNormales,InformarUnidades
41,104,Valores de referencia:,De 70  a  110,1
43,106,Masculinos:,2 a 7,1
44,107,Adulto femenino:,"De 2,4  a  5,7",1
45,107,Adulto masculino:,"De 3,4  a  7,0",1
48,128,Valores de referencia:,135  a  145,1
49,129,Valores de referencia:,"3,5  a  4,5",1
50,130,Hombres,De 24 a 195,1
51,130,Mujeres,De 24 a 170,1
52,131,Valores de referencia:,230 a 460,1
54,132,Hombres,hasta  37,1
55,132,Mujeres,Hasta 31,1
61,166,Valores de referencia:,30  a  40,1
70,188,Valores de referencia:,60  a  120,1
74,213,Valores de referencia:,35  a  45,1
75,214,Valores de referencia:,80  a  100,1
76,215,Valores de referencia:,95  a  98,1
77,229,Adultos:,Hasta 160,1
79,231,Adultos,De 48  a  230,1
80,255,Valores de referencia,150.000 a 400.000,1
81,256,Valor de referencia:,NEGATIVO,1
96,318,Hombres:,Hasta 41,1
97,251,Adultos:,"8,50 a 10,50",1
98,251,Recién nacido:,"7,50 a 9,50",1
146,1258,Valor de referencia,Hasta 4,1
147,1260,Valor de referencia,"Hasta 1,60",1
148,1259,Valor de referencia,"0,9 a 9,0",1
149,1262,Negativo:,Menor a 1/8,1
152,338,Hombres :,"De 11,0 a 50,0",1
153,338,Mujeres:,"De 7,0 a 32,0",1
171,1302,Adultos:,"De 0,5 a 2,0",1
172,1303,Adulto:,De 4 a l2,1
173,1304,Adultos:,Hasta 5,1
174,318,Mujeres:,Hasta 31,1
175,1352,Hombres:,"De 0,80 a 1,40",1
176,1352,Mujeres:,"De 0,70 a 1,20",1
177,1353,Valor de referencia:,"De 0,90 a 1,50",1
180,1357,Adultos:,"Hasta 13,6",1
183,1364,Riesgo bajo:,Menor a 140,1
184,1364,Riesgo moderado:,De 140 a 190,1
185,1364,Riesgo alto:,Mayor a 190,1
195,229,Niños de 1 a 4 años:,Hasta 100,1
198,229,Niños de 5 a 10 años:,Hasta 150,1
199,334,Valor de referencia:,De 400 a 800,1
214,1387,Adultos:,"De 2,50 a 4,50",1
215,1387,Niños:,"De 4,00 a 6,50",1
228,270,Valores de referencia:,"De 6,00 a 8,00",1
229,271,Valor de referrencia:,"De 3,24 a 4,32",1
230,272,Valor de referencia:,"De 2,60 a 3,70",1
231,273,Valor de referencia:,"De 1,2 a 2,2",1
232,167,Valor de referencia:,12 a 15,1
233,168,Valor de referencia:,100,1
234,317,Adultos:,"De 0,5 a 3,0",1
235,317,Recién nacidos:,"De 2,0 a 6,0",1
236,1390,Valores de referencia:,De 4.970 a 13.977,1
237,315,Valor de referencia:,De 8 a 15,1
238,1304,Bebes hasta 5 días:,Hasta 20,1
239,1304,Niños hasta 5 años:,Hasta 10,1
240,1303,Bebes hasta 5 días:,De 9 a 20,1
241,1303,Niños hasta 5 años:,De 7 a 15,1
242,1302,Bebes hasta 5 días:,"De 0,5 a 2,1",1
243,1302,Niños hasta 5 años:,"De 1,6 a 2,4",1
253,1396,Adultos:,De 68 a 300,1
254,1396,Niños y adolescentes:,De 100 a 600,1
255,1399,Menor a 6 semanas:,"De 25,0 a 34,0",1
256,1399,Adulto:,De 37 a 55,1
257,1400,Valor de referencia:,"De 12,0 a 18,0",1
258,1401,Valor de referencia:,"De 32,0 a 36,0",1
259,1402,Valor de referrencia:,De 6.000 a 17.000,1
262,1418,Valor de referencia:,De 5 a 10,1
264,1425,Negativo:,Hasta 100,1
265,1426,Negativo:,Hasta 100,1
266,1427,Hombres:,De 20 a 320,1
267,1427,Mujeres:,De 10 a 280,1
268,1427,Pediátricos:,,1
269,1427,RN:,80 % del valor adulto,1
274,1434,Valores de referencia:,"De 0,50 a 1,60",1
275,1435,Valor de referencia:,De 8 a 57,1
276,1436,Valor de referencia:,De 8 a 49,1
278,1438,Valores de referencia:,De 13 a 60,1
280,1440,Valor de referencia:,"De 0,8 a 3,1",1
282,1423,Negativo:,No se observan BAAR.,1
289,1456,Valores de referencia:,No dosable.,1
291,1468,Riesgo bajo:,Menor a 140,1
292,1468,Riesgo moderado:,De 140 a 190,1
293,1468,Riesgo alto:,Mayor a 190,1
294,1472,Hombres:,"Hasta 4,97",1
295,1472,Mujeres:,"Hasta 4,44",1
296,1466,Hombres:,De 30 a 70,1
297,1466,Mujeres:,De 35 a 95,1
298,1470,Hombres:,De 10 a 40,1
299,1470,Mujeres:,De 5 a 32,1
300,1474,Hombres:,De 30 a 70,1
301,1474,Mujeres:,De 35 a 95,1
302,1476,Riesgo bajo:,Hasta 140,1
303,1476,Riesgo moderado:,De 140 a 190,1
304,1476,Riesgo alto:,Mayor a 190,1
305,1478,Hombres:,"Hasta 4,97",1
306,1478,Mujeres:,"Hasta 4,44",1
307,1481,Hombres:,De 30 a 70,1
308,1481,Mujeres:,De 35 a 95,1
309,1483,Riesgo Bajo:,Hasta 140,1
310,1483,Riesgo moderado:,De 140 a 190,1
311,1483,Riesgo Alto:,Mayor a 190,1
312,1485,Hombres:,"Hasta 4,95",1
313,1485,Mujeres:,"Hasta 4,44",1
314,1487,Valor de referencia:,Hasta 160,1
470,187,Marcador Oncologico:,Menor a 5,1
474,1657,Valor de referencia:,NEGATIVO,1
475,1658,No reactivo:,"Menor a 1,00",1
476,1658,Reactivo:,"Mayor o igual a 1,00",1
477,1660,Adulto masculino:,De 20 a 110,1
478,1660,Prepuber:,Menor a 40,1
479,1660,Día 1 a 10 del ciclo:,De 60 a 400,1
480,1660,Día 11 a 20 del ciclo:,De 120 a 430,1
481,1660,Día 21 a 30 del ciclo:,De 160 a 350,1
482,1660,Post menopausia:,Menor a 40,1
483,1661,Adulto masculino:,"De 0,10 a 0,50",1
485,1661,Fase folicular,"De 0,20 a 1,50",1
486,1661,Fase lutea:,"De 3,50 a 15,00",1
487,1661,Post-menopausia:,"De 0,20 a 0,50",1
494,1662,Valores de refencia:,"De17,3 a 74,1",1
495,1663,Valores de referencia:,"De 0,8 a 2,0",1
496,1423,Positivo + (una),0 a 1 BAAR/100 c,1
497,1423,"             ++ (dos)",1 a 10 BAAR/50 c,1
498,1423,"             +++ (tres)",> de 10 BAAR/50 c,1
501,1665,Referencia:,No reactivo,1
502,1667,Referencia:,Negativo.,1
503,1669,Valores de referencia:,Hasta 285,1
504,1670,Referencia:,NEGATIVO,1
505,1671,Referencia:,NEGATIVO,1
506,1672,Referencia:,NEGATIVO,1
507,1673,Referencia:,NEGATIVO,1
518,1677,Valores de referencia:,"De 1,9 a 2,5",1
519,1678,Valores de referencia:,De 250 a 750,1
522,1682,Valores de referencia:,"De 1,0 a 4,0",1
524,230,Recien nacidos:,De 720 a 1.650,1
525,230,De 1 a 3 meses:,De 220 a 920,1
526,230,De 4 a 6 meses:,De 200 a 880,1
527,230,De 7 a 12 meses:,De 270 a 1.220,1
528,230,De 1 a 2 años:,De 300 a 1.280,1
529,230,De 2 a 3 años:,De 540 a 1.350,1
530,230,De 3 a 5 años:,De 550 a 1.480,1
531,230,De 6 a 8 años:,De 600 a 1.550,1
532,230,De 9 a 11 años:,De 680 a 1.630,1
533,230,De 12 a 16 años:,De 680 a 1.650,1
534,230,Adultos:,De 680 a 1.700,1
535,1690,Mujer adulta:," 25 a 156",1
536,1690,Hombre adulto:,31 a 144,1
547,1698,Valores de referencia:,"De 3,0 a 8,0",1
549,1700,Valores de referencia:,"De 5,0 a 22,0",1
550,1701,Sangre de cordón,ND a 10,1
551,1701,De 1 a 3 meses,De 5 a 65,1
552,1701,De 4 a 6 meses,De 10 a 70,1
553,1701,De 7 a 12 meses,De 20 a 110,1
554,1701,De 1 a 2 años,De 20 a 130,1
555,1701,De 2 a 3 años,De 20 a 190,1
556,1701,De 3 a 5 años,De 40 a 270,1
557,1701,De 6 a 16 años,De 55 a 300,1
558,1701,Adultos,De 60 a 380,1
559,1702,Riesgo Prediabetes:,De 141 a 199,1
567,1713,Valores de referencia:,Menor a 37,1
568,1715,Valores de referencia:,"Hasta 3,70",1
569,1719,Valores de referencia:,"De 0,6 a 1,2",1
581,1725,Adulto:,Hasta 27,1
582,1725,Hasta 1 mes,"Hasta 0,6",1
583,1725,De 1 a 12 meses,"Hasta 2,5",1
584,1726,Valor de referencia:,"De 4,3 a 22,4",1
586,1725,De 1 a 2 años,"Hasta 3,5",1
587,1725,De 2 a 4 años,"Hasta 3,3",1
588,1725,De 4 a 9 años,"Hasta 6,2",1
589,1728,Adultos:,Hasta 97,1
590,1728,Hasta 1 mes,"De 1,1 a 9,8",1
591,1728,De 1 a 12 meses,"De 9,2 a 32,6",1
592,1728,De 1 a 2 años,"De 3,2 a 46,8",1
593,1728,De 2 a 4 años,"De 5,4 a 50,0",1
594,1728,De 4 a 9 años,"De 11,3 a 74,3",1
595,1727,Valores de referencia:,De 4 a 16,1
597,1734,Valor referencia:,NEGATIVO,1
598,1735,Valores de referencia:,"Hasta 32,4",1
599,1736,Valor de referencia:,"Hasta 4,0",1
601,1747,Negativo:,"Menor a 0,30",1
602,1747,Positivo:,"Mayor a 0,30",1
604,1748,Prepúberes:,"De 0,3 a 1,0",1
605,1748,Hombre Adulto:,"De 0,6 a 3,1",1
606,1748,Mujer Adulta:,"De 0,3 a 3,3",1
607,1748,Menopausia:,"Menor a 1,00",1
608,1749,Valor de referencia:,NEGATIVO,1
609,1750,Valores de referencia:,De 25 a 60,1
610,1751,Valores de referencia:,De 94 a 193,1
611,1752,Valores de referencia:,De 20 a 40,1
615,1756,Valor de referencia:,NEGATIVO,1
618,1759,Valores de referencia:,De 10 a 20,1
623,1764,Valores de referencia:,"Hasta 22,0",1
625,1766,Valor de referencia:,NEGATIVO,1
627,1769,NEGATIVO:,"Menor a  0,45",1
629,1769,POSITIVO:,"Mayor o igual a 0,45",1
631,1772,Valor predilectivo:,NEGATIVO,1
632,1770,Sensibilidad:,100,1
633,1777,Valor de referencia:,"Superiores al 11,0",1
634,1783,Valor predilectivo:,NEGATIVO,1
635,1785,Negativo:,"menor a 5,0",1
638,1784,Valores de refencia:,"Hasta 1,00",1
641,1789,No embarazadas:,"8,5",1
642,1789,Embarazadas:,14 semanas:  22,1
643,1789,,"15 semanas:  26,5",1
644,1789,,"16 semanas:  31,2",1
645,1789,,"17 semanas:  32,2",1
646,1789,,"18 semanas:  38,7",1
647,1789,,"19 semanas:  42,8",1
648,1789,,"20 semanas:  67,8",1
649,1789,,De 21 a 30:   112,1
650,1789,,De 31 a 40:   136,1
651,1790,Etapa aguda:,POSITIVO,1
652,1301,NEGATIVO:,Menor a 1/20,1
653,1791,Mujeres adultas:,De 250 a 350,1
654,1791,Hombres adultos:,De 300 a 400,1
655,1792,Adultos:,De 20 a 40,1
656,1793,Valores de refencia:,"Hasta 30,0",1
661,1800,Valores de referencia:,De 98 a 108,1
663,1802,Valor de referencia:,NEGATIVO,1
664,1803,Valor de referencia:,NEGATIVO,1
665,1801,Valor de referencia:,NEGATIVO,1
666,1805,Negativo:,Menor a 15,1
667,1806,Valor de refencia:,NEGATIVO,1
668,1807,Valor predilectivo:,NEGATIVO,1
670,1811,Valores de referencia:,600,1
671,1818,Valores de referencia:,De 40 a 150,1
675,1823,Valores de referencia:,De 6021 a 9165,1
676,1820,Valores de referencia:,"De 0,5 a 3,0",1
679,1822,Valores de referencia:,De 19 a 40,1
680,1844,,,1
681,1845,Valores de referencia:,"Hasta 0,30",1
683,1849,Referencia:,NEGATIVO,1
684,1847,Referencia:,NEGATIVO,1
685,1850,Valores de referencia,"Hasta 0,3",1
686,1852,Valor de referencia:,NO REACTIVO,1
703,1869,Valore de referencia:,Negativo,0
704,1870,Valores de referencia:,"De 3,5 a 13,9",1
708,1873,Valores de referencia:,De 210 a 910,1
709,1872,Valores de referencia:,"Mayor a 5,21",1
710,1874,Valore de referencia:,NEGATIVO,1
711,1877,Adulto:,"De 0,5 a 2,0",1
712,1877,Neonatos:,De 60 a 230,1
713,1877,Niños (1 a 7 años):,De 110 a 230,1
714,1877,Niños (7 a 12 años):,De 90 a 230,1
715,1878,Adultos:,"De 4,5 a 12,5",1
716,1878,Neonatos:,De 9 a 18,1
717,1878,Niños (1 a 7 años),De 7 a 15,1
718,1878,Niños (7 a 12 años),De 6 a 13,1
719,1879,Valores de referencia:,"De 0,3 a 5,0",1
729,1916,Valor de referencia,"l3,5",1
730,1917,Valor de referencia:,Hasta 5,1
731,1918,Valor de referencia:,,1
732,1919,Adultos:,De 68 a 240,1
733,1919,Adolescentes y niños:,De 100 a 400,1
734,1920,Hombres:,Hasta 37,1
735,1920,Mujeres:,Hasta 31,1
736,1921,Hombres:,Hasta 37,1
737,1921,Mujeres:,Hasta 31,1
741,1927,Rango Terapéutico:,De 50 a 100,1
742,1966,Valor de referencia:,Hasta 20,1
743,1967,Valores de referencia:,Hasta 4,1
744,1968,Adulto:,"De 4,5 a l2,5",1
745,1968,Neonato:,"De 9,0 a 12,0",1
746,1968,Niños de 1 a 6 años:,"De 7,0 a 15,0",1
747,1968,Niños de 7 a 12 años:,"De 6,0 a 13,0",1
748,1969,Valores de referencia:,"De 0,30 a 5,00",1
751,1970,Adultos:,De 80 a 200,1
752,1970,Neonato:,De 60 a 230,1
753,1970,Niños de 1 a 6 años:,De 110 a 230,1
754,1970,Niños de 6 a 12 años,De 90 a 230,1
758,1976,Valores de refencia:,"Mayor a 96,5",1
759,1977,Valores de refencia:,"2,0 a 3,5",1
760,1978,Valor de referencia:,"Menor a 1,0",1
761,1979,Valor de referencia:,NEGATIVO,1
762,1980,Valor de referencia:,Negativo,1
763,1981,Adultos normopeso,De 2 a 34,1
765,1982,Valor de referencia:,NEGATIVO,1
766,1983,Negativo:,Hasta 20,1
767,1984,,,1
768,1985,Positivo:,Mayor a 20,1
770,1988,Valores de referencia:,"De 0,71 a 1,85",1
782,2000,Valores de referencia:,Hasta 46,1
783,2001,Valores de referencia:,Hasta 2.000.000,1
784,2002,Valores de referencia:,Hasta 1.800.000,1
785,2003,Valres de referencia:,Hasta 1.000.000,1
786,2004,Valores de referencia:,Hasta 10.000,1
787,1789,Como marcador:,"De 0,5 a 6,6",1
788,2023,Hombres:,"hasta 3,0",1
790,2026,Valor predilectivo:,Negativo,1
791,2027,Negativo:,Menora 10,1
792,2027,Positivo:,Mayor a 30,1
794,2029,Valores de referencia:,Hasta 10,1
795,2030,Adultos,De 12 a 67,1
798,2031,Valor predilectivo:,Negativo,1
799,2032,Negativo :,"Menor a 0,9",1
800,2032,Positivo:,"Mayor a1,1",1
803,2036,Negativo:,"Menor a 0,90",1
804,2036,Positivo:,"Mayor a 1,10",1
805,2037,,,1
806,2038,,,1
807,2039,,,1
808,2040,,,1
809,2041,,,1
810,1300,No Reactivo:,Menor a 1/16,1
812,2045,No reactivo:,"Hasta 0,80",1
813,2045,Indeterminado:,"De 0,80 a 1,0",1
814,2045,Reactivo:,"Mayor a 1,0",1
815,2046,Valor de referencia:,Negativo,1
816,2047,Valor de refereencia:,De 70 a 110,1
817,2051,Valor de referencia:,Menor a 200,1
825,2060,No reactivo:,"Menor a 1,0",1
826,2061,Rango terapéutico,De 15 a 40,1
835,2077,Valores de referencia:,"Hasta 30,2",1
838,2079,Valores normales:,De 45 a 117,1
839,2080,Valores recomendados:,De 20 a 100,1
840,1427,1 mes:,Duplican el valor adulto,1
841,1427,Hasta los 15 años:,Menor al 80 % del valor adulto,1
852,2092,Valores de referencia:,De 1 a 4,1
853,2093,Valor de referencia:,De 8 a 15,1
854,2094,Valor de referencia:,"13,5",1
855,2095,Valor de referencia:,100,1
856,2096,Valor de referencia:,De 90 a 120,1
857,2097,Valor de referencia:,De 30 a 40,1
858,2098,Valor de referencia:,De 150.000 a 400.000,1
859,2100,Valores de referencia:,Entre 80 y 100,1
860,2101,Valores de referencia:,Entre 30 y 43,1
861,2102,Valores de referencia:,Menor a 10,1
862,2103,Valores de referencia:,Entre 15 a 30,1
863,2104,Valores de referencia:,Entre 35 y 50,1
864,2105,Valores de referencia:,Menor a 1,1
865,2106,Valores de referencia:,Entre 35 y 50,1
866,2107,Valores de referencia:,Menor a 1,1
867,2099,,,1
872,2112,Negativo:,Menor de 20,1
873,2113,Valores de referencia:,"Entre 0,10 y 0,20",1
874,2114,Valores de referencia:,"De 15,0 a 100,0",1
875,2115,Referencia:,NEGATIVO,1
876,2116,Valor de referencia:,Negativo,1
913,2293,Valores normales:,"80,0  a  94,0",1
914,2294,Valores normales:,"27,0  a  32,0",1
915,2295,Valores normales:,"32,0  a  38,0",1
916,2296,Valores de referencias:,De 150.000 a 450.000,1
917,2311,Valores de referencia:,De 150.000 a 400.000,1
918,2297,Valores de referencia:,"De 0,11 a 0,28",1
919,2298,Valores de referencia:,"De 7,00 a 11,00",1
974,2426,Hombres:,Hasta 46,1
975,2426,Mujeres:,Hasta 22,1
976,2428,Valores de referencia:,"Hasta 0,150",1
977,2430,Valores de referencia:,Entre 15 y 64,1
978,2431,Valores de referencia:,Entre 70 y 160,1
979,2433,Valores de referencia:,Entre 19 y 57,1
980,2007,Valores de referencia:,25 a 125,1
981,2434,Dieta libre de Calcio,De 5 a 40,1
986,2444,Valore de referencia:,NEGATIVO,1
987,2448,Negativo:,"menor a 6,0",1
990,2450,Negativo:,"menor 0,85",1
993,2452,Rango terapéutico,De 10 a 45,1
994,2453,Valores de referencia:,De 20 a 60,1
995,2454,Valores de referencia:,"De 0,34 a 1,00",1
996,2458,,,1
1005,2461,Negativo:,Menor a 25,1
1016,2462,Como marcador:,"De 0,5 a 6,6",1
1018,2464,Hombres:,De 7 a 44,1
1019,2464,Mujeres:,De 4 a 31,1
1020,2464,Niños:,De 13 a 38,1
1021,2466,Valor de Referencia:,De 140 a 900,1
1024,2468,Valores de referancia:,"De 0,90 a 1,50",1
1025,2470,Valores de referencia:,De 10  a  50,1
1026,2471,Valores de referencia:,De 20 a 40,1
1039,2487,Negativo:,Hasta 35,1
1041,2491,Concentración de corte:,"Hasta 5,50",1
1042,2492,Valores de referencia:,De 20 a 90,1
1076,2564,Negativo:,Menor a 15,1
1077,2564,Indeterminado:,De 16 a 37,1
1078,2566,Negativo:,Menor a 15,1
1079,2566,Indeterminado:,De 16 a 27,1
1084,2571,,,1
1085,2572,Rango Terapeutico:,"De 1,0 a 4,0",1
1086,2573,Límite de detección:,400,1
1091,2578,Valores de referencia:,De 29 a 59,1
1092,2579,Valores de referencia:,De 800 a 1200,1
1095,2585,Referencia:,No dosable,1
1096,2589,Valores de referencia:,"De 0,9 a 4,0",1
1097,2591,Negativo:,Menor a 10,1
1098,2111,,,1
1099,2111,,,1
1114,2595,Fumadores:,"Hasta  5,0",1
1115,2595,No fumadores,"Hasta  3,0",1
1116,2596,Valores de referencia:,De 70 a 170,1
1122,2599,Valores de referencia:,Hasta  230,1
1123,2600,Hombre adulto:,Hasta 40,1
1124,2600,Mujer: Fase folicular:,De 19.5 a 144.2,1
1125,2600,"           Fase ovulatoria:",De 63.9 a 356.7,1
1126,2600,"           Fase lutea:","De 55,8 a 214,2",1
1127,2600," Postmenopausia:",Menor de 32,1
1134,2604,Negativo:,"Menor a 0,90",1
1135,2604,Positivo:,"Mayor a 1,10",1
1136,2605,Valores de referencia:,"Menor a 0,11",1
1138,2608,Positivo:,"Mayor de 1,5",1
1145,2616,Rango terapéutico:,De 10 a 20,1
1150,2620,Valores de referencia:,"Menor o igual a 3,00",1
1151,2624,Valores de referencia:,"82,0  a  95,0",1
1152,2625,Valores de referencia:,"27,0  a  32,0",1
1153,2626,Valores de referencia:,"32,0  a  36,0",1
1154,2627,Valores de referencia:,"De 11,5 a 14,5",1
1155,2628,Valores de referrencia:,De 150.000 a 350.000,1
1156,2629,Valores de referencia:,"De 0,15 a 0,35",1
1157,2630,Valores de referencia:,"De 7,00 a 11,00",1
1158,2631,Valores de referencia:,"De 14,0 a 17,0",1
1162,2647,1 a 11 meses:,"De 6,3 a 13,6",1
1166,2651,Negativo:,Menor a 20,1
1167,2651,Positivo:,Mayor a 20,1
1168,2652,Adultos,"0,60 a 1,81",1
1169,2652,,,0
1170,2652,,,0
1171,2652,,,0
1172,2647,1 a 5 años:,"De 6,0 a 13,0",1
1173,2647,6 a 10 años:,"De 5,8 a 12,0",1
1174,2647,11 a 14 años:,"De 5,4 a 12,0",1
1175,2653,Valores de referencia:,De 90 a 180,1
1176,2654,Valor de referencia,"Menor a 4,00",1
1177,2655,Adultos:," 0,89 - 1,76",1
1178,2656,Adultos:,De 2 a 170,1
1184,2656,Menores a 1 año:,De 1 a 52,1
1185,2656,De 1 a 4 años:,De 1 a 352,1
1186,2656,De 4 a 10 años:,De 1 a 393,1
1188,2657,Hombre adulto:,"De 1,5 a 9,3",1
1189,2657,Mujer: Fase folicular:,"De 2,0 a 13,0",1
1190,2657,"           Fase ovulatoria:","De 8,7 a 76,0",1
1191,2657,"           Fase lutea:","De 0,5 a 17,0",1
1192,2657,"           Menopausia:","De 16,0 a 54,0",1
1194,2658,Hombre adulto:,"De 1,4 a 18,0",1
1195,2658,Mujer: Fase folicular:,"De 2,5 a 10,2",1
1196,2658,"             Fase ovulatoria:","De 3,4 a 33,4",1
1197,2658,"             Fase lutea:","De 1,5 a 9,1",1
1198,2658,"             Menopausia:","De 23,0 a 116,0",1
1202,2660,Masculino adulto:,De 400 a 2600,1
1203,2660,Prepuber:,De 80 a 500,1
1204,2660,Femenino adulto:,De 400 a 4100,1
1214,2671,Negativo:,"Menor a 1,0",1
1215,2671,Indeterminado:,"De 1,0 a 1,5",1
1216,2671,Positivo:,"Mayor a 1,5",1
1219,2672,Valores de refencia:,"Menor a 25,0",1
1225,2680,,,1
1247,2702,Adultos:,De 68 a 240,1
1248,2702,Adolescentes y niños:,De 100 a 400,1
