IDUnidad,Nombre
6,g%
7,ng/dl
8,µg%
9,GR/mm3
10,%
11,µ3
12,µµg
13,/mm3
14,GB/mm3
15,Nº/mm3
18,mm
19,años
20,mEq/l
21,UI/l
22,mmHg
23,mMol/L
24,min.
25,UA %
26,x campo
27,UI/ml
28,UFC/ml
29,/campo
32,g/24 hs.
61,mg/24 hs
62,µU/ml.
63,ml/min
64,litros/24 hs.
65,dils.
66,mUI/ml
67,seg.
68,"ml/min/1,73m2"
69,ng/ml
70,pg/ml
71,mg%
72,% Hb A1c
73,U STZ
74,µmol/l.
75,mg/g
76,/24 hs.
78,pmol/l
79,µg/24 hs.
80,U.CH 50%
81,µg/ml.
82,nM/L
83,mg/litro
85,ng %
87,µUI/ml
88,uUI/ml
89,mg/dl
90,.
91,UR/ml
92,/12 hs.
93,mEq/24 hs.
94,UGPL/ml
95,UMPL/ml
96,µg/dl
97,fl
98,mg/l
99,Copias RNA viral
100,ug/dl
101,U/g Hb
102,mg/mg
103,µU/dl.
104,g/l
106,Pg/1.000.000 pq
107,mg/gCr
108,nmol/l
109,KU/l
110,nMol/mMol
111,g/dl
112,pg
113,U/ml
114,Unidades
115,nMoles/L
116,U/l
117,Unidad
118,U
119,GPL
120,MPL
121,mU/ml
122,UA/ml
123,S/CO
124,UA
125,x campo.
126,por campo
127,mOSm/Kg.
128,U.CH50
129,UI
130,m2
131,Hs.
132,ml
133,Esperm./ml.
134,Esperm.
135,/ml.
136,ug/ml.
137,ug/L
138,g/cm3
139,ug/24 Hs.
140,umol/L
141,MoM
142,ug/g de creat.
143,UFC
144,UCH50
145,ng/mg crea
146,ug/g de mat. Fecal
147,mg/100 g MF
148,ml/24 Hs.
149,copias/ml.
150,ng/ml/hora.
151,ODU
152,ng/L
153,DMMDN
154,DMMDR
155,DMNEX
156,DMNGF
157,glob. De grasa/campo
158,mg/dl/g heces
159,g/g creat.
160,ug/g Hb.
161,U/ml hematies.
162,% post correción
163,ng/ml FEU.
164,10x-5
165,AU/ml.